TIME,fixed,tou,fit,ch_cost,dis_cost,mode_0,mode_1,mode_2,set_point,sp_soft,heat_gains,load_sim,load1,heat_gains0,load
04:40:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,340
04:45:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,337
04:50:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,341
04:55:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,335
05:00:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,342
05:05:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,346
05:10:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,342
05:15:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,345
05:20:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,345
05:25:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,346
05:30:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,352
05:35:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,358
05:40:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,363
05:45:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,362
05:50:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,375
05:55:00,0.25,0.16,0.11,0.02,0.01,1,0,0,25,10,0.5,300,500,0,366
06:00:00,0.25,0.28,0.11,0.02,0.01,1,0,0,25,10,0.5,300,1500,0,380
06:05:00,0.25,0.28,0.11,0.02,0.01,1,0,0,25,10,0.5,300,1500,0,379
06:10:00,0.25,0.28,0.11,0.02,0.01,1,0,0,25,10,0.5,300,1500,0,384
06:15:00,0.25,0.28,0.11,0.02,0.01,1,0,0,25,10,0.5,300,1500,0,379
06:20:00,0.25,0.28,0.11,0.02,0.01,1,0,0,25,10,0.5,300,1500,0,394
06:25:00,0.25,0.28,0.11,0.02,0.01,1,0,0,25,10,0.5,300,1500,0,383
06:30:00,0.25,0.28,0.11,0.02,0.01,1,0,0,25,10,0.5,300,1500,0,398
06:35:00,0.25,0.28,0.11,0.02,0.01,1,0,0,25,10,0.5,300,1500,0,391
06:40:00,0.25,0.28,0.11,0.02,0.01,1,0,0,25,10,0.5,300,1500,0,392
06:45:00,0.25,0.28,0.11,0.02,0.01,1,0,0,25,10,0.5,300,1500,0,405
06:50:00,0.25,0.28,0.11,0.02,0.01,1,0,0,25,10,0.5,300,1500,0,389
06:55:00,0.25,0.28,0.11,0.02,0.01,1,0,0,25,10,0.5,300,1500,0,388
07:00:00,0.25,0.28,0.11,0.02,0.01,1,0,0,25,10,1.32,500,1500,0,3010
07:05:00,0.25,0.28,0.11,0.02,0.01,1,0,0,25,10,1.32,500,1500,0,3011
07:10:00,0.25,0.28,0.11,0.02,0.01,1,0,0,25,10,1.32,500,1500,0,3012
07:15:00,0.25,0.28,0.11,0.02,0.01,1,0,0,25,10,1.32,500,1500,0,3019
07:20:00,0.25,0.28,0.11,0.02,0.01,1,0,0,25,10,1.32,500,1500,0,3014
07:25:00,0.25,0.28,0.11,0.02,0.01,1,0,0,25,10,1.32,500,1500,0,3005
07:30:00,0.25,0.28,0.11,0.02,0.01,1,0,0,25,10,1.32,500,1500,0,3020
07:35:00,0.25,0.28,0.11,0.02,0.01,1,0,0,25,10,1.32,500,1500,0,3014
