,load,pv,fixed,tou,fit,ch_cost,dis_cost,mode_0,mode_1,p_load,p_ch,p_dis,p_im,p_ex,soc
2020-11-04 00:00:00,10659.25,0.0,0.25,0.16,0.11,0.02,0.01,1,0,10659.25,0.0,7500.0,3159.25,0.0,2.66
2020-11-04 00:20:00,10982.75,0.0,0.25,0.16,0.11,0.02,0.01,1,0,10982.75,0.0,85.26315789473671,10897.486842105263,0.0,0.028421052631578902
2020-11-04 00:40:00,11098.0,0.0,0.25,0.16,0.11,0.02,0.01,1,0,11098.0,0.0,0.0,11098.0,0.0,-0.0014958448753462604
2020-11-04 01:00:00,11049.5,0.0,0.25,0.16,0.11,0.02,0.01,1,0,11049.5,0.0,0.0,11049.5,0.0,-0.0014958448753462604
2020-11-04 01:20:00,11044.0,0.0,0.25,0.16,0.11,0.02,0.01,1,0,11044.0,0.0,0.0,11044.0,0.0,-0.0014958448753462604
2020-11-04 01:40:00,10740.25,0.0,0.25,0.16,0.11,0.02,0.01,1,0,10740.25,0.0,0.0,10740.25,0.0,-0.0014958448753462604
2020-11-04 02:00:00,10899.0,0.0,0.25,0.16,0.11,0.02,0.01,1,0,10899.0,0.0,0.0,10899.0,0.0,-0.0014958448753462604
2020-11-04 02:20:00,10992.5,0.0,0.25,0.16,0.11,0.02,0.01,1,0,10992.5,0.0,0.0,10992.5,0.0,-0.0014958448753462604
2020-11-04 02:40:00,11209.0,0.0,0.25,0.16,0.11,0.02,0.01,1,0,11209.0,0.0,0.0,11209.0,0.0,-0.0014958448753462604
2020-11-04 03:00:00,11254.25,0.0,0.25,0.16,0.11,0.02,0.01,1,0,11254.25,0.0,0.0,11254.25,0.0,-0.0014958448753462604
2020-11-04 03:20:00,10682.5,0.0,0.25,0.16,0.11,0.02,0.01,1,0,10682.5,0.0,0.0,10682.5,0.0,-0.0014958448753462604
2020-11-04 03:40:00,10700.75,0.0,0.25,0.16,0.11,0.02,0.01,1,0,10700.75,0.0,0.0,10700.75,0.0,-0.0014958448753462604
2020-11-04 04:00:00,11062.5,0.0,0.25,0.16,0.11,0.02,0.01,1,0,11062.5,0.0,0.0,11062.5,0.0,-0.0014958448753462604
2020-11-04 04:20:00,11111.25,0.0,0.25,0.16,0.11,0.02,0.01,1,0,11111.25,0.0,0.0,11111.25,0.0,-0.0014958448753462604
2020-11-04 04:40:00,11448.05,12.8,0.25,0.16,0.11,0.02,0.01,1,0,11448.05,0.0,0.0,11435.25,0.0,-0.0014958448753462604
2020-11-04 05:00:00,10960.925,343.175,0.25,0.16,0.11,0.02,0.01,1,0,10960.925,0.0,0.0,10617.75,0.0,-0.0014958448753462604
2020-11-04 05:20:00,11529.925,1316.925,0.25,0.16,0.11,0.02,0.01,1,0,11529.925,0.0,0.0,10213.0,0.0,-0.0014958448753462604
2020-11-04 05:40:00,10698.25,3871.75,0.25,0.16,0.11,0.02,0.01,1,0,10698.25,0.0,0.0,6826.5,0.0,-0.0014958448753462604
2020-11-04 06:00:00,10761.5,6799.75,0.25,0.28,0.11,0.02,0.01,1,0,10761.5,0.0,0.0,3961.75,0.0,-0.0014958448753462604
2020-11-04 06:20:00,10579.75,8628.75,0.25,0.28,0.11,0.02,0.01,1,0,10579.75,0.0,0.0,1951.0,0.0,-0.0014958448753462604
2020-11-04 06:40:00,12392.0,12863.5,0.25,0.28,0.11,0.02,0.01,1,0,12392.0,-471.5,0.0,0.0,0.0,-0.0014958448753462604
2020-11-04 07:00:00,13113.0,10177.75,0.25,0.28,0.11,0.02,0.01,0,1,13113.0,0.0,443.4374653739612,2491.812534626039,0.0,0.14781248845798706
2020-11-04 07:20:00,15045.75,14739.5,0.25,0.28,0.11,0.02,0.01,0,1,15045.75,0.0,0.0,306.25,0.0,-0.007779604655683531
2020-11-04 07:40:00,14486.5,15572.75,0.25,0.28,0.11,0.02,0.01,0,1,14486.5,-1086.25,0.0,0.0,0.0,-0.007779604655683531
2020-11-04 08:00:00,15603.5,19220.0,0.25,0.28,0.11,0.02,0.01,0,1,15603.5,-3616.5,0.0,0.0,0.0,0.3361995620109831
2020-11-04 08:20:00,12266.5,23777.5,0.25,0.28,0.11,0.02,0.01,0,1,12266.5,-7500.0,0.0,0.0,-4011.0,1.4814245620109827
2020-11-04 08:40:00,10007.25,25472.5,0.25,0.28,0.11,0.02,0.01,0,1,10007.25,-7500.0,0.0,0.0,-7965.25,3.8564245620109827
2020-11-04 09:00:00,9966.5,26690.0,0.25,0.21,0.11,0.02,0.01,0,1,9966.5,-7500.0,0.0,0.0,-9223.5,6.231424562010982
2020-11-04 09:20:00,9458.0,27810.0,0.25,0.21,0.11,0.02,0.01,0,1,9458.0,-7500.0,0.0,0.0,-10852.0,8.606424562010982
2020-11-04 09:40:00,8226.5,28920.0,0.25,0.21,0.11,0.02,0.01,0,1,8226.5,-6955.726313967055,0.0,0.0,-13737.773686032946,10.981424562010982
2020-11-04 10:00:00,8046.75,30057.5,0.25,0.21,0.11,0.02,0.01,0,1,8046.75,-347.78631569835386,0.0,0.0,-21662.963684301645,13.18407122810055
2020-11-04 10:20:00,9376.75,30870.0,0.25,0.21,0.11,0.02,0.01,0,1,9376.75,-17.389315784916093,0.0,0.0,-21475.860684215084,13.294203561405029
2020-11-04 10:40:00,10003.25,31285.0,0.25,0.21,0.11,0.02,0.01,0,1,10003.25,-0.8694657892434066,0.0,0.0,-21280.880534210755,13.299710178070253
2020-11-04 11:00:00,10028.0,31592.5,0.25,0.21,0.11,0.02,0.01,0,1,10028.0,-0.043473289464301956,0.0,0.0,-21564.456526710535,13.299985508903513
2020-11-04 11:20:00,9534.75,31950.0,0.25,0.21,0.11,0.02,0.01,0,1,9534.75,-0.0021736644750802725,0.0,0.0,-22415.247826335526,13.299999275445176
2020-11-04 11:40:00,8815.25,31442.5,0.25,0.21,0.11,0.02,0.01,0,1,8815.25,-0.000108683222421746,0.0,0.0,-22627.249891316776,13.29999996377226
2020-11-04 12:00:00,9161.25,31397.5,0.25,0.21,0.11,0.02,0.01,0,1,9161.25,-5.43415978881967e-06,0.0,0.0,-22236.249994565842,13.299999998188614
2020-11-04 12:20:00,6452.75,30937.5,0.25,0.21,0.11,0.02,0.01,0,1,6452.75,-2.717079894409835e-07,0.0,0.0,-24484.74999972829,13.299999999909431
2020-11-04 12:40:00,5024.25,29850.0,0.25,0.21,0.11,0.02,0.01,0,1,5024.25,-1.3583800750893715e-08,0.0,0.0,-24825.749999986416,13.299999999995473
2020-11-04 13:00:00,3758.75,28975.0,0.25,0.21,0.11,0.02,0.01,0,1,3758.75,-6.767919558114954e-10,0.0,0.0,-25216.249999999323,13.299999999999775
2020-11-04 13:20:00,5787.25,28002.5,0.25,0.21,0.11,0.02,0.01,0,1,5787.25,-3.197442310920451e-11,0.0,0.0,-22215.249999999967,13.29999999999999
2020-11-04 13:40:00,4394.25,26650.0,0.25,0.21,0.11,0.02,0.01,0,1,4394.25,0.0,0.0,0.0,-22255.75,13.3
2020-11-04 14:00:00,11349.5,16237.5,0.25,0.21,0.11,0.02,0.01,0,1,11349.5,0.0,0.0,0.0,-4888.0,13.3
2020-11-04 14:20:00,4784.0,22637.5,0.25,0.21,0.11,0.02,0.01,0,1,4784.0,0.0,0.0,0.0,-17853.5,13.3
2020-11-04 14:40:00,7547.0,22040.0,0.25,0.21,0.11,0.02,0.01,0,1,7547.0,0.0,0.0,0.0,-14493.0,13.3
2020-11-04 15:00:00,22753.25,19297.5,0.25,0.21,0.11,0.02,0.01,0,1,22753.25,0.0,3455.75,0.0,0.0,13.3
2020-11-04 15:20:00,21845.0,18162.5,0.25,0.21,0.11,0.02,0.01,0,1,21845.0,0.0,3682.5,0.0,0.0,12.087456140350877
2020-11-04 15:40:00,14429.75,9701.5,0.25,0.21,0.11,0.02,0.01,0,1,14429.75,0.0,4728.25,0.0,0.0,10.795350877192982
2020-11-04 16:00:00,13207.25,5605.0,0.25,0.21,0.11,0.02,0.01,0,1,13207.25,0.0,7500.0,102.25,0.0,9.136315789473684
2020-11-04 16:20:00,10155.5,4380.25,0.25,0.21,0.11,0.02,0.01,0,1,10155.5,0.0,5775.25,0.0,0.0,6.504736842105263
2020-11-04 16:40:00,8511.0,3728.0,0.25,0.21,0.11,0.02,0.01,0,1,8511.0,0.0,4783.0,0.0,0.0,4.4783333333333335
2020-11-04 17:00:00,9643.5,2667.5,0.25,0.28,0.11,0.02,0.01,0,1,9643.5,0.0,6976.0,0.0,0.0,2.8000877192982454
2020-11-04 17:20:00,9529.275,1443.525,0.25,0.28,0.11,0.02,0.01,0,1,9529.275,0.0,1057.105263157895,7028.644736842105,0.0,0.35236842105263166
