,load,pv,fixed,tou,fit,ch_cost,dis_cost,mode_0,mode_1,p_load,p_ch,p_dis,p_im,p_ex,soc
2021-01-10 00:00:00,-2704.25,0.0,0.25,0.16,0.11,0.02,0.01,1,0,-2704.25,-2704.25,0.0,0.0,0.0,2.261
2021-01-10 00:20:00,-2820.0,0.0,0.25,0.16,0.11,0.02,0.01,1,0,-2820.0,-2820.0,0.0,0.0,0.0,3.1173458333333333
2021-01-10 00:40:00,-2361.75,0.0,0.25,0.16,0.11,0.02,0.01,1,0,-2361.75,-2361.75,0.0,0.0,0.0,4.010345833333333
2021-01-10 01:00:00,-2847.5,0.0,0.25,0.16,0.11,0.02,0.01,1,0,-2847.5,-2847.5,0.0,0.0,0.0,4.758233333333333
2021-01-10 01:20:00,-2721.5,0.0,0.25,0.16,0.11,0.02,0.01,1,0,-2721.5,-2721.5,0.0,0.0,0.0,5.659941666666667
2021-01-10 01:40:00,-2897.25,0.0,0.25,0.16,0.11,0.02,0.01,1,0,-2897.25,-2897.25,0.0,0.0,0.0,6.52175
2021-01-10 02:00:00,-2709.25,0.0,0.25,0.16,0.11,0.02,0.01,1,0,-2709.25,-2709.25,0.0,0.0,0.0,7.4392125
2021-01-10 02:20:00,-2736.25,0.0,0.25,0.16,0.11,0.02,0.01,1,0,-2736.25,-2736.25,0.0,0.0,0.0,8.297141666666667
2021-01-10 02:40:00,-2903.25,0.0,0.25,0.16,0.11,0.02,0.01,1,0,-2903.25,-2903.25,0.0,0.0,0.0,9.163620833333333
2021-01-10 03:00:00,-1155.75,0.0,0.25,0.16,0.11,0.02,0.01,1,0,-1155.75,-1155.75,0.0,0.0,0.0,10.082983333333333
2021-01-10 03:20:00,-170.75,0.0,0.25,0.16,0.11,0.02,0.01,1,0,-170.75,-170.75,0.0,0.0,0.0,10.448970833333332
2021-01-10 03:40:00,3035.25,0.0,0.25,0.16,0.11,0.02,0.01,1,0,3035.25,0.0,3035.25,0.0,0.0,10.503041666666666
2021-01-10 04:00:00,3818.25,0.0,0.25,0.16,0.11,0.02,0.01,1,0,3818.25,0.0,3818.25,0.0,0.0,9.438041666666667
2021-01-10 04:20:00,2985.25,0.0,0.25,0.16,0.11,0.02,0.01,1,0,2985.25,0.0,2985.25,0.0,0.0,8.098304824561403
2021-01-10 04:40:00,2665.475,-0.275,0.25,0.16,0.11,0.02,0.01,1,0,2665.475,0.0,2665.75,0.0,0.0,7.050848684210526
2021-01-10 05:00:00,-2031.475,173.025,0.25,0.16,0.11,0.02,0.01,1,0,-2031.475,-2204.5,0.0,0.0,0.0,6.115497807017543
2021-01-10 05:20:00,-3186.625,665.125,0.25,0.16,0.11,0.02,0.01,1,0,-3186.625,-3851.75,0.0,0.0,0.0,6.8135894736842095
2021-01-10 05:40:00,-3073.0,1997.75,0.25,0.16,0.11,0.02,0.01,1,0,-3073.0,-5070.75,0.0,0.0,0.0,8.033310307017542
2021-01-10 06:00:00,-2439.75,4195.25,0.25,0.28,0.11,0.02,0.01,1,0,-2439.75,-6635.0,0.0,0.0,0.0,9.639047807017542
2021-01-10 06:20:00,-3774.25,6887.25,0.25,0.28,0.11,0.02,0.01,1,0,-3774.25,-4679.606578947375,0.0,0.0,-5981.893421052625,11.740131140350876
2021-01-10 06:40:00,-4373.0,9715.75,0.25,0.28,0.11,0.02,0.01,1,0,-4373.0,-233.98032894737142,0.0,0.0,-13854.769671052629,13.222006557017544
2021-01-10 07:00:00,-5021.0,12500.0,0.25,0.28,0.11,0.02,0.01,0,1,-5021.0,-11.699016447368038,0.0,0.0,-17509.30098355263,13.296100327850878
