,load,pv,fixed,tou,fit,ch_cost,dis_cost,mode_0,mode_1,p_load,p_ch,p_dis,p_im,p_ex,soc
2020-11-03 00:00:00,15328.525,0.0,0.25,0.16,0.11,0.02,0.01,1,0,15328.525,0.0,7500.0,7828.525,0.0,2.66
2020-11-03 00:20:00,15394.775,0.0,0.25,0.16,0.11,0.02,0.01,1,0,15394.775,0.0,85.26315789473671,15309.511842105263,0.0,0.028421052631578902
2020-11-03 00:40:00,15441.075,0.0,0.25,0.16,0.11,0.02,0.01,1,0,15441.075,0.0,0.0,15441.075,0.0,-0.0014958448753462604
2020-11-03 01:00:00,15472.175,0.0,0.25,0.16,0.11,0.02,0.01,1,0,15472.175,0.0,0.0,15472.175,0.0,-0.0014958448753462604
2020-11-03 01:20:00,15340.5,0.0,0.25,0.16,0.11,0.02,0.01,1,0,15340.5,0.0,0.0,15340.5,0.0,-0.0014958448753462604
2020-11-03 01:40:00,15146.875,0.0,0.25,0.16,0.11,0.02,0.01,1,0,15146.875,0.0,0.0,15146.875,0.0,-0.0014958448753462604
2020-11-03 02:00:00,15366.225,0.0,0.25,0.16,0.11,0.02,0.01,1,0,15366.225,0.0,0.0,15366.225,0.0,-0.0014958448753462604
2020-11-03 02:20:00,15374.275,0.0,0.25,0.16,0.11,0.02,0.01,1,0,15374.275,0.0,0.0,15374.275,0.0,-0.0014958448753462604
2020-11-03 02:40:00,15292.225,0.0,0.25,0.16,0.11,0.02,0.01,1,0,15292.225,0.0,0.0,15292.225,0.0,-0.0014958448753462604
2020-11-03 03:00:00,15569.275,0.0,0.25,0.16,0.11,0.02,0.01,1,0,15569.275,0.0,0.0,15569.275,0.0,-0.0014958448753462604
2020-11-03 03:20:00,15273.35,0.0,0.25,0.16,0.11,0.02,0.01,1,0,15273.35,0.0,0.0,15273.35,0.0,-0.0014958448753462604
2020-11-03 03:40:00,15945.3,0.0,0.25,0.16,0.11,0.02,0.01,1,0,15945.3,0.0,0.0,15945.3,0.0,-0.0014958448753462604
2020-11-03 04:00:00,16837.625,0.0,0.25,0.16,0.11,0.02,0.01,1,0,16837.625,0.0,0.0,16837.625,0.0,-0.0014958448753462604
2020-11-03 04:20:00,15200.425,0.0,0.25,0.16,0.11,0.02,0.01,1,0,15200.425,0.0,0.0,15200.425,0.0,-0.0014958448753462604
2020-11-03 04:40:00,15167.65,1.0,0.25,0.16,0.11,0.02,0.01,1,0,15167.65,0.0,0.0,15166.65,0.0,-0.0014958448753462604
2020-11-03 05:00:00,15518.75,274.85,0.25,0.16,0.11,0.02,0.01,1,0,15518.75,0.0,0.0,15243.9,0.0,-0.0014958448753462604
2020-11-03 05:20:00,14986.35,1104.675,0.25,0.16,0.11,0.02,0.01,1,0,14986.35,0.0,0.0,13881.675000000001,0.0,-0.0014958448753462604
2020-11-03 05:40:00,14809.675,3280.0,0.25,0.16,0.11,0.02,0.01,1,0,14809.675,0.0,0.0,11529.675,0.0,-0.0014958448753462604
2020-11-03 06:00:00,14935.675,6005.25,0.25,0.28,0.11,0.02,0.01,1,0,14935.675,0.0,0.0,8930.425,0.0,-0.0014958448753462604
2020-11-03 06:20:00,15011.35,8775.25,0.25,0.28,0.11,0.02,0.01,1,0,15011.35,0.0,0.0,6236.1,0.0,-0.0014958448753462604
2020-11-03 06:40:00,17541.975,11657.5,0.25,0.28,0.11,0.02,0.01,1,0,17541.975,0.0,0.0,5884.4749999999985,0.0,-0.0014958448753462604
2020-11-03 07:00:00,18259.975,14525.0,0.25,0.28,0.11,0.02,0.01,0,1,18259.975,0.0,0.0,3734.9749999999985,0.0,-0.0014958448753462604
2020-11-03 07:20:00,21474.475,16950.0,0.25,0.28,0.11,0.02,0.01,0,1,21474.475,0.0,0.0,4524.4749999999985,0.0,-0.0014958448753462604
2020-11-03 07:40:00,22921.275,19690.0,0.25,0.28,0.11,0.02,0.01,0,1,22921.275,0.0,0.0,3231.2750000000015,0.0,-0.0014958448753462604
2020-11-03 08:00:00,20331.5,22187.5,0.25,0.28,0.11,0.02,0.01,0,1,20331.5,-1856.0,0.0,0.0,0.0,-0.0014958448753462604
2020-11-03 08:20:00,17126.325,24007.5,0.25,0.28,0.11,0.02,0.01,0,1,17126.325,-6881.174999999999,0.0,0.0,0.0,0.5862374884579871
2020-11-03 08:40:00,17537.9,24695.0,0.25,0.28,0.11,0.02,0.01,0,1,17537.9,-7157.0999999999985,0.0,0.0,0.0,2.7652762384579863
2020-11-03 09:00:00,17725.675,25817.5,0.25,0.21,0.11,0.02,0.01,0,1,17725.675,-7500.0,0.0,0.0,-591.8250000000007,5.031691238457986
2020-11-03 09:20:00,27892.725,27325.0,0.25,0.21,0.11,0.02,0.01,0,1,27892.725,0.0,567.7249999999985,0.0,0.0,7.406691238457986
2020-11-03 09:40:00,32031.725,28365.0,0.25,0.21,0.11,0.02,0.01,0,1,32031.725,0.0,3666.7249999999985,0.0,0.0,7.207489484072021
2020-11-03 10:00:00,33090.5,29270.0,0.25,0.21,0.11,0.02,0.01,0,1,33090.5,0.0,3820.5,0.0,0.0,5.920919308633425
2020-11-03 10:20:00,31426.575,29837.5,0.25,0.21,0.11,0.02,0.01,0,1,31426.575,0.0,1589.0750000000007,0.0,0.0,4.580392992843952
2020-11-03 10:40:00,27877.325,30357.5,0.25,0.21,0.11,0.02,0.01,0,1,27877.325,-2480.1749999999993,0.0,0.0,0.0,4.022822817405355
2020-11-03 11:00:00,19167.425,30495.0,0.25,0.21,0.11,0.02,0.01,0,1,19167.425,-7500.0,0.0,0.0,-3827.5750000000007,4.808211567405355
2020-11-03 11:20:00,16634.775,30585.0,0.25,0.21,0.11,0.02,0.01,0,1,16634.775,-7500.0,0.0,0.0,-6450.2249999999985,7.183211567405355
2020-11-03 11:40:00,14813.5,30642.5,0.25,0.21,0.11,0.02,0.01,0,1,14813.5,-7500.0,0.0,0.0,-8329.0,9.558211567405355
2020-11-03 12:00:00,13431.025,30492.5,0.25,0.21,0.11,0.02,0.01,0,1,13431.025,-4100.365297783938,0.0,0.0,-12961.109702216061,11.933211567405355
2020-11-03 12:20:00,13980.675,30277.5,0.25,0.21,0.11,0.02,0.01,0,1,13980.675,-205.01826488919585,0.0,0.0,-16091.806735110806,13.231660578370269
2020-11-03 12:40:00,14277.525,29670.0,0.25,0.21,0.11,0.02,0.01,0,1,14277.525,-10.250913244460591,0.0,0.0,-15382.22408675554,13.296583028918514
2020-11-03 13:00:00,13423.85,28832.5,0.25,0.21,0.11,0.02,0.01,0,1,13423.85,-0.5125456622216973,0.0,0.0,-15408.137454337779,13.299829151445927
