,load,pv,fixed,tou,fit,ch_cost,dis_cost,mode_0,mode_1,p_load,p_ch,p_dis,p_im,p_ex,soc
2020-11-04 00:00:00,23498.475,0.0,0.25,0.16,0.11,0.02,0.01,1,0,23498.475,0.0,7500.0,15998.474999999999,0.0,2.66
2020-11-04 00:20:00,23061.975,0.0,0.25,0.16,0.11,0.02,0.01,1,0,23061.975,0.0,85.26315789473671,22976.711842105262,0.0,0.028421052631578902
2020-11-04 00:40:00,22971.925,0.0,0.25,0.16,0.11,0.02,0.01,1,0,22971.925,0.0,0.0,22971.925,0.0,-0.0014958448753462604
2020-11-04 01:00:00,23043.775,0.0,0.25,0.16,0.11,0.02,0.01,1,0,23043.775,0.0,0.0,23043.775,0.0,-0.0014958448753462604
2020-11-04 01:20:00,23534.1,0.0,0.25,0.16,0.11,0.02,0.01,1,0,23534.1,0.0,0.0,23534.1,0.0,-0.0014958448753462604
2020-11-04 01:40:00,23360.55,0.0,0.25,0.16,0.11,0.02,0.01,1,0,23360.55,0.0,0.0,23360.55,0.0,-0.0014958448753462604
2020-11-04 02:00:00,23287.35,0.0,0.25,0.16,0.11,0.02,0.01,1,0,23287.35,0.0,0.0,23287.35,0.0,-0.0014958448753462604
2020-11-04 02:20:00,22872.35,0.0,0.25,0.16,0.11,0.02,0.01,1,0,22872.35,0.0,0.0,22872.35,0.0,-0.0014958448753462604
2020-11-04 02:40:00,23047.225,0.0,0.25,0.16,0.11,0.02,0.01,1,0,23047.225,0.0,0.0,23047.225,0.0,-0.0014958448753462604
2020-11-04 03:00:00,23523.125,0.0,0.25,0.16,0.11,0.02,0.01,1,0,23523.125,0.0,0.0,23523.125,0.0,-0.0014958448753462604
2020-11-04 03:20:00,23481.8,0.0,0.25,0.16,0.11,0.02,0.01,1,0,23481.8,0.0,0.0,23481.8,0.0,-0.0014958448753462604
2020-11-04 03:40:00,23208.7,0.0,0.25,0.16,0.11,0.02,0.01,1,0,23208.7,0.0,0.0,23208.7,0.0,-0.0014958448753462604
2020-11-04 04:00:00,23000.3,0.0,0.25,0.16,0.11,0.02,0.01,1,0,23000.3,0.0,0.0,23000.3,0.0,-0.0014958448753462604
2020-11-04 04:20:00,23598.425,0.0,0.25,0.16,0.11,0.02,0.01,1,0,23598.425,0.0,0.0,23598.425,0.0,-0.0014958448753462604
2020-11-04 04:40:00,24301.15,-7.116666666666666,0.25,0.16,0.11,0.02,0.01,1,0,24301.15,0.0,0.0,24308.266666666666,0.0,-0.0014958448753462604
2020-11-04 05:00:00,24326.9,266.4166666666667,0.25,0.16,0.11,0.02,0.01,1,0,24326.9,0.0,0.0,24060.483333333334,0.0,-0.0014958448753462604
