Date,SB_Va,SB_Vb,SB_Vc,IF_Vc,DR_Va,Delta_P
2020-11-16 00:00:00,-0.001472700154749873,-0.005989771255940468,0.0044522503431210225,0.0044587024942757125,-0.0014840107810982772,200.0
2020-11-16 00:05:00,-0.001462353503683289,-0.005948196506579961,0.004421282937954629,0.004427689886625785,-0.0014735851814009493,198.6062717770037
2020-11-16 00:10:00,-0.001452008025609075,-0.005906619440366967,0.004390314711997689,0.004396676461766447,-0.0014631607563728721,197.21254355400742
2020-11-16 00:15:00,-0.0014416637209251348,-0.005865040057358328,0.004359345665335468,0.004365662218788202,-0.001452737507065649,195.81881533101114
2020-11-16 00:20:00,-0.0014313205896030468,-0.00582345835695719,0.004328375797825856,0.004334647159112137,-0.0014423154324560983,194.42508710801485
2020-11-16 00:25:00,-0.0014209786317849193,-0.005781874339248816,0.004297405109326746,0.004303631281459275,-0.0014318945331979194,193.03135888501674
2020-11-16 00:30:00,-0.0014106378474707526,-0.005740288003693195,0.004266433599951824,0.004272614586312784,-0.0014214748092911123,191.63763066202046
2020-11-16 00:35:00,-0.00140029823671739,-0.005698699350261904,0.004235461269445295,0.004241597073701087,-0.0014110562608493638,190.24390243902417
2020-11-16 00:40:00,-0.0013899597998374702,-0.005657108378670728,0.004204488117892424,0.004210578742998905,-0.0014006388880432041,188.85017421602788
2020-11-16 00:45:00,-0.0013796225367457282,-0.005615515088635448,0.004173514145207946,0.004179559594575721,-0.0013902226907589466,187.4564459930316
2020-11-16 00:50:00,-0.001369286447641116,-0.005573919480099221,0.004142539351192909,0.004148539627749415,-0.0013798076693376515,186.0627177700353
2020-11-16 00:55:00,-0.0013589515327794288,-0.005532321553005204,0.004111563735591517,0.004117518843457901,-0.0013693938241203796,184.66898954703902
2020-11-16 01:00:00,-0.0013486177922175102,-0.005490721306927071,0.004080587298489036,0.004086497240990639,-0.0013589811543681662,183.27526132404273
2020-11-16 01:05:00,-0.0013382852255290345,-0.0054491187412679665,0.004049610040169682,0.004055474820262361,-0.0013485696608483977,181.88153310104462
2020-11-16 01:10:00,-0.001327953833367701,-0.0054075138562836855,0.004018631960150287,0.004024451581415178,-0.0013381593436747607,180.48780487804834
2020-11-16 01:15:00,-0.0013176236158471966,-0.005365906651718433,0.003987653058544538,0.003993427524051185,-0.00132775020259146,179.09407665505205
2020-11-16 01:20:00,-0.001307294572882256,-0.005324297127231148,0.00395667333495453,0.003962402648369334,-0.0013173422379679778,177.70034843205576
2020-11-16 01:25:00,-0.0012969667046718314,-0.005282685282679722,0.003925692789692903,0.003931376954596999,-0.001306935449889579,176.30662020905947
2020-11-16 01:30:00,-0.001286640011073814,-0.005241071117723095,0.003894711422532282,0.0039003504416541546,-0.0012965298384131074,174.9128919860632
2020-11-16 01:35:00,-0.0012763144922303127,-0.005199454632020206,0.0038637292336147766,0.0038693231103650305,-0.001286125403709093,173.5191637630669
2020-11-16 01:40:00,-0.0012659901487666048,-0.005157835825883694,0.0038327462223151088,0.0038382949603601446,-0.0012757221458343793,172.1254355400706
2020-11-16 01:45:00,-0.0012556669801995213,-0.00511621469848933,0.003801762389088026,0.0038072659917531837,-0.001265320064504749,170.7317073170725
2020-11-16 01:50:00,-0.001245344987040653,-0.00507459125012133,0.003770777733450359,0.003776236204345196,-0.001254919160459167,169.33797909407622
2020-11-16 01:55:00,-0.0012350241691478914,-0.005032965480296525,0.0037397922555442165,0.003745205597937229,-0.0012445194334702592,167.94425087107993
2020-11-16 02:00:00,-0.0012247045265780798,-0.004991337388645434,0.0037088059554832853,0.003714174172273488,-0.0012341208838222428,166.55052264808364
2020-11-16 02:05:00,-0.0012143860594164835,-0.004949706975139634,0.003677818832898083,0.003683141927950828,-0.0012237235110603706,165.15679442508736
2020-11-16 02:10:00,-0.0012040687680325846,-0.00490807423952333,0.00364683088778861,0.003652108864201864,-0.0012133273160657154,163.76306620209107
2020-11-16 02:15:00,-0.0011937526523695396,-0.004866439181654414,0.0036158421200411794,0.0036210749813676557,-0.001202932298582482,162.36933797909387
2020-11-16 02:20:00,-0.0011834377124273487,-0.0048248018010212945,0.003584852529854743,0.0035900402790218777,-0.0011925384586959353,160.97560975609758
2020-11-16 02:25:00,-0.0011731239486039158,-0.004783162098078719,0.003553862116604023,0.003559004757477169,-0.001182145796661871,159.5818815331013
2020-11-16 02:30:00,-0.0011628113605013368,-0.004741520071604555,0.003522870880942719,0.003527968416619842,-0.001171754311968698,158.188153310105
2020-11-16 02:35:00,-0.0011524999486596244,-0.0046998757221103915,0.0034918788222171315,0.0034969312559667287,-0.0011613640056680197,156.7944250871078
2020-11-16 02:40:00,-0.001142189713021935,-0.004658229049198326,0.003460885940512526,0.0034658932760009975,-0.0011509748772198236,155.40069686411152
2020-11-16 02:45:00,-0.0011318806537587989,-0.004616580052669406,0.0034298922357720585,0.003434854475983684,-0.0011405869270504354,154.00696864111524
2020-11-16 02:50:00,-0.0011215727708986378,-0.0045749287321825705,0.003398897707938886,0.0034038148562842707,-0.00113020015507459,152.61324041811895
2020-11-16 02:55:00,-0.0011112660647540906,-0.00453327508773782,0.003367902356842478,0.003372774416959601,-0.001119814561405974,151.21951219512175
2020-11-16 03:00:00,-0.00110096053487041,-0.004491619118596191,0.003336906182681787,0.0033417331578107223,-0.0011094301461298528,149.82578397212546
2020-11-16 03:05:00,-0.0010906561820434035,-0.004449960825240851,0.003305909185002065,0.0033106910782407795,-0.0010990469097862388,148.43205574912918
