Date,SB_Va,SB_Vb,SB_Vc,IF_Vc,DR_Va,Delta_P
2020-11-16 00:00:00,-0.005992189021924332,0.004452333416026022,-0.00147057244052462,-0.0014624596978762838,-0.006002372725248506,200.0
2020-11-16 00:05:00,-0.005950597570659966,0.004421365475707262,-0.00146024054330951,-0.00145218367401867,-0.005960711204210156,198.6062717770037
2020-11-16 00:10:00,-0.0059090038006672785,0.004390396713944256,-0.0014499098204225902,-0.0014419088332999763,-0.005919047351795825,197.21254355400742
2020-11-16 00:15:00,-0.0058674077114915235,0.004359427130822269,-0.001439580271721752,-0.0014316351762602153,-0.005877381167607609,195.81881533101114
2020-11-16 00:20:00,-0.005825809303189544,0.004328456726227614,-0.0014292518974343693,-0.0014213627026151698,-0.005835712652100256,194.42508710801485
2020-11-16 00:25:00,-0.005784208575221328,0.00429748550013187,-0.0014189246976172853,-0.0014110914130185392,-0.005794041804279004,193.03135888501674
2020-11-16 00:30:00,-0.005742605527700562,0.004266513452478193,-0.0014085986724978738,-0.0014008213067882025,-0.00575236862405859,191.63763066202046
2020-11-16 00:35:00,-0.005701000159888281,0.004235540583266584,-0.0013982738218203394,-0.0013905523851747148,-0.0057106931116379656,190.24390243902417
2020-11-16 00:40:00,-0.005659392472324498,0.0042045668920991375,-0.0013879501462383814,-0.001380284647126473,-0.0056690152661929005,188.85017421602788
2020-11-16 00:45:00,-0.005617782464270249,0.004173592379174806,-0.0013776276454962044,-0.0013700180934392847,-0.005627335088206564,187.4564459930316
2020-11-16 00:50:00,-0.005576170135526581,0.004142617044294639,-0.0013673063197927604,-0.00135975272394262,-0.0055856525768263054,186.0627177700353
2020-11-16 00:55:00,-0.00553455548566717,0.004111640887771273,-0.001356986168872254,-0.0013494885386649003,-0.005543967731881594,184.66898954703902
2020-11-16 01:00:00,-0.005492938515175183,0.004080663908752058,-0.0013466671935020713,-0.001339225538458777,-0.005502280553741912,183.27526132404273
2020-11-16 01:05:00,-0.005451319223084283,0.0040496861078622715,-0.0013363493932558868,-0.0013289637219884298,-0.005460591041355656,181.88153310104462
2020-11-16 01:10:00,-0.005409697609849218,0.004018707484448214,-0.001326032768758978,-0.0013187030906749442,-0.005418899195205995,180.48780487804834
2020-11-16 01:15:00,-0.005368073674560492,0.003987728039277272,-0.0013157173192723803,-0.0013084436439498859,-0.0053772050148097605,179.09407665505205
2020-11-16 01:20:00,-0.005326447417360214,0.003956747771525215,-0.0013054030456487453,-0.001298185382296424,-0.00533550849979747,177.70034843205576
2020-11-16 01:25:00,-0.005284818837935745,0.003925766681305731,-0.0012950899476606992,-0.0012879283054587631,-0.005293809649998593,176.30662020905947
2020-11-16 01:30:00,-0.005243187936457616,0.0038947847683630243,-0.0012847780257061459,-0.0012776724139769158,-0.005252108465441552,174.9128919860632
2020-11-16 01:35:00,-0.005201554712272127,0.003863802033038155,-0.0012744672796429768,-0.001267417707168761,-0.005210404945586333,173.5191637630669
2020-11-16 01:40:00,-0.005159919165151905,0.0038328184749332195,-0.0012641577095280354,-0.0012571641860290583,-0.005168699090404516,172.1254355400706
2020-11-16 01:45:00,-0.005118281294841154,0.0038018340943608564,-0.001253849315531852,-0.0012469118503020127,-0.005126990899924522,170.7317073170725
2020-11-16 01:50:00,-0.005076641101396717,0.0037708488909800053,-0.0012435420976828482,-0.0012366606997318286,-0.005085280373009482,169.33797909407622
2020-11-16 01:55:00,-0.005034998584363848,0.003739862864534871,-0.0012332360562083977,-0.0012264107353416875,-0.005043567510597313,167.94425087107993
2020-11-16 02:00:00,-0.004993353743685702,0.0037088760151675615,-0.001222931191165344,-0.00121616195630736,-0.005001852311693256,166.55052264808364
2020-11-16 02:05:00,-0.004951706579248594,0.00367788834259386,-0.0012126275029231692,-0.001205914362913063,-0.004960134776382574,165.15679442508736
2020-11-16 02:10:00,-0.004910057090370401,0.003646899847097984,-0.001202324990941861,-0.0011956679555567007,-0.004918414904068413,163.76306620209107
2020-11-16 02:15:00,-0.004868405277193233,0.0036159105284241377,-0.001192023655931962,-0.0011854227344656465,-0.004876692695177098,162.36933797909387
2020-11-16 02:20:00,-0.004826751139432872,0.003584920386401791,-0.0011817234976945201,-0.0011751786993556834,-0.004834968149197039,160.97560975609758
2020-11-16 02:25:00,-0.004785094676833523,0.0035539294210593653,-0.001171424516485331,-0.0011649358501415463,-0.004793241265190318,159.5818815331013
2020-11-16 02:30:00,-0.004743435889167813,0.0035229376323115957,-0.0011611267122191293,-0.001154694187619043,-0.004751512044009587,158.188153310105
2020-11-16 02:35:00,-0.004701774776350476,0.003491945019987952,-0.001150830085208554,-0.0011444537114471132,-0.004709780485143256,156.7944250871078
2020-11-16 02:40:00,-0.004660111337898343,0.003460951584202121,-0.0011405346353967616,-0.001134214421881552,-0.004668046587994468,155.40069686411152
2020-11-16 02:45:00,-0.004618445573726149,0.0034299573246698856,-0.0011302403629258606,-0.001123976318865516,-0.004626310352591645,154.00696864111524
2020-11-16 02:50:00,-0.004576777483720207,0.003398962241448089,-0.0011199472680232248,-0.0011137394023705838,-0.004584571778678992,152.61324041811895
2020-11-16 02:55:00,-0.004535107067567878,0.003367966334423045,-0.0011096553506035889,-0.0011035036730220327,-0.004542830865801761,151.21951219512175
2020-11-16 03:00:00,-0.004493434324842838,0.003336969603680018,-0.0010993646108090616,-0.0010932691304503805,-0.004501087614130483,149.82578397212546
2020-11-16 03:05:00,-0.004451759255744037,0.003305972048650574,-0.0010890750489522816,-0.0010830357751387965,-0.00445934202369358,148.43205574912918
