,load,pv,fixed,tou,fit,ch_cost,dis_cost,mode_0,mode_1,p_load,p_ch,p_dis,p_im,p_ex,soc
2021-01-10 00:00:00,8571.55,0.0,0.25,0.16,0.11,0.02,0.01,1,0,8571.55,0.0,6783.0,1788.5499999999993,0.0,2.261
2021-01-10 00:20:00,8557.975,0.0,0.25,0.16,0.11,0.02,0.01,1,0,8557.975,0.0,0.0,8557.975,0.0,-0.11900000000000022
2021-01-10 00:40:00,8595.9,0.0,0.25,0.16,0.11,0.02,0.01,1,0,8595.9,0.0,0.0,8595.9,0.0,-0.11900000000000022
2021-01-10 01:00:00,8550.775,0.0,0.25,0.16,0.11,0.02,0.01,1,0,8550.775,0.0,0.0,8550.775,0.0,-0.11900000000000022
2021-01-10 01:20:00,8585.3,0.0,0.25,0.16,0.11,0.02,0.01,1,0,8585.3,0.0,0.0,8585.3,0.0,-0.11900000000000022
2021-01-10 01:40:00,8551.75,0.0,0.25,0.16,0.11,0.02,0.01,1,0,8551.75,0.0,0.0,8551.75,0.0,-0.11900000000000022
2021-01-10 02:00:00,8614.525,0.0,0.25,0.16,0.11,0.02,0.01,1,0,8614.525,0.0,0.0,8614.525,0.0,-0.11900000000000022
2021-01-10 02:20:00,8608.75,0.0,0.25,0.16,0.11,0.02,0.01,1,0,8608.75,0.0,0.0,8608.75,0.0,-0.11900000000000022
2021-01-10 02:40:00,8520.0,0.0,0.25,0.16,0.11,0.02,0.01,1,0,8520.0,0.0,0.0,8520.0,0.0,-0.11900000000000022
2021-01-10 03:00:00,10159.775,0.0,0.25,0.16,0.11,0.02,0.01,1,0,10159.775,0.0,0.0,10159.775,0.0,-0.11900000000000022
2021-01-10 03:20:00,11111.1,0.0,0.25,0.16,0.11,0.02,0.01,1,0,11111.1,0.0,0.0,11111.1,0.0,-0.11900000000000022
2021-01-10 03:40:00,14612.5,0.0,0.25,0.16,0.11,0.02,0.01,1,0,14612.5,0.0,0.0,14612.5,0.0,-0.11900000000000022
2021-01-10 04:00:00,15828.9,0.0,0.25,0.16,0.11,0.02,0.01,1,0,15828.9,0.0,0.0,15828.9,0.0,-0.11900000000000022
2021-01-10 04:20:00,14637.8,0.0,0.25,0.16,0.11,0.02,0.01,1,0,14637.8,0.0,0.0,14637.8,0.0,-0.11900000000000022
2021-01-10 04:40:00,14698.2,-3.5833333333333335,0.25,0.16,0.11,0.02,0.01,1,0,14698.2,0.0,0.0,14701.783333333335,0.0,-0.11900000000000022
2021-01-10 05:00:00,9332.65,108.11666666666666,0.25,0.16,0.11,0.02,0.01,1,0,9332.65,0.0,0.0,9224.533333333333,0.0,-0.11900000000000022
2021-01-10 05:20:00,8369.95,596.0833333333334,0.25,0.16,0.11,0.02,0.01,1,0,8369.95,0.0,0.0,7773.866666666668,0.0,-0.11900000000000022
2021-01-10 05:40:00,8185.025,1931.3333333333333,0.25,0.16,0.11,0.02,0.01,1,0,8185.025,0.0,0.0,6253.691666666667,0.0,-0.11900000000000022
2021-01-10 06:00:00,7718.825,4126.166666666667,0.25,0.28,0.11,0.02,0.01,1,0,7718.825,0.0,0.0,3592.658333333333,0.0,-0.11900000000000022
2021-01-10 06:20:00,6866.025,6818.5,0.25,0.28,0.11,0.02,0.01,1,0,6866.025,0.0,0.0,47.524999999999636,0.0,-0.11900000000000022
2021-01-10 06:40:00,5895.85,9654.166666666666,0.25,0.28,0.11,0.02,0.01,1,0,5895.85,-3758.3166666666657,0.0,0.0,0.0,-0.11900000000000022
2021-01-10 07:00:00,5215.3,12445.0,0.25,0.28,0.11,0.02,0.01,0,1,5215.3,-7229.7,0.0,0.0,0.0,1.0711336111111103
2021-01-10 07:20:00,4292.5,15205.0,0.25,0.28,0.11,0.02,0.01,0,1,4292.5,-7500.0,0.0,0.0,-3412.5,3.36053861111111
2021-01-10 07:40:00,3317.5,17568.333333333332,0.25,0.28,0.11,0.02,0.01,0,1,3317.5,-7500.0,0.0,0.0,-6750.833333333332,5.73553861111111
2021-01-10 08:00:00,2490.75,19635.0,0.25,0.28,0.11,0.02,0.01,0,1,2490.75,-7500.0,0.0,0.0,-9644.25,8.11053861111111
2021-01-10 08:20:00,1604.75,21761.666666666668,0.25,0.28,0.11,0.02,0.01,0,1,1604.75,-7500.0,0.0,0.0,-12656.916666666668,10.48553861111111
2021-01-10 08:40:00,856.0,23733.333333333332,0.25,0.28,0.11,0.02,0.01,0,1,856.0,-1318.3841666666715,0.0,0.0,-21558.94916666666,12.86053861111111
