,load,pv,fixed,tou,fit,ch_cost,dis_cost,mode_0,mode_1,p_load,p_ch,p_dis,p_im,p_ex,soc
2020-11-16 00:00:00,18147.625,0.0,0.25,0.16,0.11,0.02,0.01,1,0,18147.625,0.0,7500.0,10647.625,0.0,2.66
2020-11-16 00:20:00,18347.65,0.0,0.25,0.16,0.11,0.02,0.01,1,0,18347.65,0.0,85.26315789473671,18262.386842105265,0.0,0.028421052631578902
2020-11-16 00:40:00,18296.7,0.0,0.25,0.16,0.11,0.02,0.01,1,0,18296.7,0.0,0.0,18296.7,0.0,-0.0014958448753462604
2020-11-16 01:00:00,18542.75,0.0,0.25,0.16,0.11,0.02,0.01,1,0,18542.75,0.0,0.0,18542.75,0.0,-0.0014958448753462604
2020-11-16 01:20:00,18054.7,0.0,0.25,0.16,0.11,0.02,0.01,1,0,18054.7,0.0,0.0,18054.7,0.0,-0.0014958448753462604
2020-11-16 01:40:00,18724.575,0.0,0.25,0.16,0.11,0.02,0.01,1,0,18724.575,0.0,0.0,18724.575,0.0,-0.0014958448753462604
2020-11-16 02:00:00,18726.85,0.0,0.25,0.16,0.11,0.02,0.01,1,0,18726.85,0.0,0.0,18726.85,0.0,-0.0014958448753462604
2020-11-16 02:20:00,19236.075,0.0,0.25,0.16,0.11,0.02,0.01,1,0,19236.075,0.0,0.0,19236.075,0.0,-0.0014958448753462604
2020-11-16 02:40:00,18426.45,0.0,0.25,0.16,0.11,0.02,0.01,1,0,18426.45,0.0,0.0,18426.45,0.0,-0.0014958448753462604
2020-11-16 03:00:00,18308.3,0.0,0.25,0.16,0.11,0.02,0.01,1,0,18308.3,0.0,0.0,18308.3,0.0,-0.0014958448753462604
2020-11-16 03:20:00,18082.45,0.0,0.25,0.16,0.11,0.02,0.01,1,0,18082.45,0.0,0.0,18082.45,0.0,-0.0014958448753462604
2020-11-16 03:40:00,18484.025,0.0,0.25,0.16,0.11,0.02,0.01,1,0,18484.025,0.0,0.0,18484.025,0.0,-0.0014958448753462604
2020-11-16 04:00:00,18451.3,0.0,0.25,0.16,0.11,0.02,0.01,1,0,18451.3,0.0,0.0,18451.3,0.0,-0.0014958448753462604
2020-11-16 04:20:00,18241.85,0.0,0.25,0.16,0.11,0.02,0.01,1,0,18241.85,0.0,0.0,18241.85,0.0,-0.0014958448753462604
2020-11-16 04:40:00,22376.4,40.1,0.25,0.16,0.11,0.02,0.01,1,0,22376.4,0.0,0.0,22336.300000000003,0.0,-0.0014958448753462604
2020-11-16 05:00:00,19986.075,541.4,0.25,0.16,0.11,0.02,0.01,1,0,19986.075,0.0,0.0,19444.675,0.0,-0.0014958448753462604
2020-11-16 05:20:00,24148.75,2134.3333333333335,0.25,0.16,0.11,0.02,0.01,1,0,24148.75,0.0,0.0,22014.416666666668,0.0,-0.0014958448753462604
2020-11-16 05:40:00,25157.6,4042.3333333333335,0.25,0.16,0.11,0.02,0.01,1,0,25157.6,0.0,0.0,21115.266666666666,0.0,-0.0014958448753462604
2020-11-16 06:00:00,21812.775,4475.166666666667,0.25,0.28,0.11,0.02,0.01,1,0,21812.775,0.0,0.0,17337.608333333334,0.0,-0.0014958448753462604
2020-11-16 06:20:00,16580.775,7833.333333333333,0.25,0.28,0.11,0.02,0.01,1,0,16580.775,0.0,0.0,8747.44166666667,0.0,-0.0014958448753462604
2020-11-16 06:40:00,17772.575,10536.666666666666,0.25,0.28,0.11,0.02,0.01,1,0,17772.575,0.0,0.0,7235.908333333335,0.0,-0.0014958448753462604
2020-11-16 07:00:00,17932.95,10508.5,0.25,0.28,0.11,0.02,0.01,0,1,17932.95,0.0,0.0,7424.450000000001,0.0,-0.0014958448753462604
2020-11-16 07:20:00,18452.925,7447.5,0.25,0.28,0.11,0.02,0.01,0,1,18452.925,0.0,0.0,11005.425,0.0,-0.0014958448753462604
2020-11-16 07:40:00,18265.25,7208.333333333333,0.25,0.28,0.11,0.02,0.01,0,1,18265.25,0.0,0.0,11056.916666666668,0.0,-0.0014958448753462604
2020-11-16 08:00:00,18869.625,8986.666666666666,0.25,0.28,0.11,0.02,0.01,0,1,18869.625,0.0,0.0,9882.958333333334,0.0,-0.0014958448753462604
