,Before,DMPC,DRM,CMPC
2019-01-16 00:00:00,35.2968632738,40.4868632738,35.2968632738,38.33686327
2019-01-16 00:30:00,37.0278045802,42.0278045802,37.0278045802,37.02780458
2019-01-16 01:00:00,36.0660662446,39.9373604882842,36.0660662446,36.06606624
2019-01-16 01:30:00,30.907341311,30.907341311,30.907341311,30.90734131
2019-01-16 02:00:00,33.3993840054,33.3993840054,33.3993840054,33.39938401
2019-01-16 02:30:00,34.1823211688,34.1823211688,34.1823211688,34.18232117
2019-01-16 03:00:00,32.298383313,32.298383313,32.298383313,32.29838331
2019-01-16 03:30:00,30.4889043634,30.4889043634,30.4889043634,30.48890436
2019-01-16 04:00:00,29.5998344502,29.5998344502,29.5998344502,29.59983445
2019-01-16 04:30:00,33.3599885654,33.3599885654,33.3599885654,33.35998857
2019-01-16 05:00:00,30.1871393236,30.1871393236,30.1871393236,30.18713932
2019-01-16 05:30:00,37.0765907106,37.0765907106,37.0765907106,37.07659071
2019-01-16 06:00:00,31.9276813758,31.9276813758,31.9276813758,31.92768138
2019-01-16 06:30:00,29.6860374594,29.6860374594,29.6860374594,29.68603746
2019-01-16 07:00:00,34.1488992908,34.1488992908,34.1488992908,34.14889929
2019-01-16 07:30:00,24.673827661,24.673827661,24.673827661,24.67382766
2019-01-16 08:00:00,27.3086427135025,27.3086427135025,27.3659054612274,27.30864271
2019-01-16 08:30:00,28.6614939411675,29.0656199876,28.6817002434891,27.64059595
2019-01-16 09:00:00,21.1139037788,21.1139037788,21.1139037788,17.08119745
2019-01-16 09:30:00,25.5407938372,25.8287985234,25.5407938372,20.69709753
2019-01-16 10:00:00,28.2985776094737,28.2985776094737,29.0291383374337,20.84305356
2019-01-16 10:30:00,14.1479286191928,16.0857313740948,17.9168231730795,12.66112053
2019-01-16 11:00:00,24.8263271272737,24.8263271272737,26.07515207968,25.24737976
2019-01-16 11:30:00,-2.33591100533183,-2.33591100533183,1.21473863698507,-0.3765811531
2019-01-16 12:00:00,-17.5872806721263,-17.5872806721263,-15.16963684678,-17.02029473
2019-01-16 12:30:00,-17.353436016,-16.980323479,-17.231325887479,-17.05371484
2019-01-16 13:00:00,-15.6505137336178,-14.8924779853263,-15.4809075944009,-14.78553477
2019-01-16 13:30:00,-16.7429177216,-16.7429177216,-15.917892714405,-16.42880831
2019-01-16 14:00:00,0.238654774400003,0.238654774400002,0.279906024759752,0.2386547744
2019-01-16 14:30:00,11.2163174744737,20.0836770436952,11.3717828644509,16.57942565
2019-01-16 15:00:00,32.0181026382,36.888962992,32.7986854714224,37.1566125
2019-01-16 15:30:00,26.6725832838419,36.4608246340909,26.6851901436205,37.37314178
2019-01-16 16:00:00,31.2442231532848,41.2803027942848,31.2499609107759,42.53941092
2019-01-16 16:30:00,44.4032585432,54.4032585432,44.4216877691184,54.58064345
2019-01-16 17:00:00,46.2413960534,51.6921774488,46.27754131451,56.09995963
2019-01-16 17:30:00,71.0629268978215,72.4596797604,71.1196049925177,80
2019-01-16 18:00:00,87.0753920016,68.5863024327105,48.2169933012,80
2019-01-16 18:30:00,99.1971820561755,78.9366955675869,73.1234396168753,80
2019-01-16 19:00:00,100.3871839966,77.7853533065059,74.8505611121812,80
2019-01-16 19:30:00,88.3695290926,70.0178171558412,90.9748944182654,80
2019-01-16 20:00:00,89.3578030226,73.2129702781309,107.766273958,80
2019-01-16 20:30:00,74.34332602,75.4783033964,94.5553495852,74.34332602
2019-01-16 21:00:00,76.2021307668,77.6320705872,93.1548205126,75.06213077
2019-01-16 21:30:00,74.8370463754,76.0398763324,81.2611710792,74.07704638
2019-01-16 22:00:00,74.9999508806,77.3999532406,79.025461914,74.8493158
2019-01-16 22:30:00,71.4853558076,74.4233501746,74.4233501746,71.25599089
2019-01-16 23:00:00,68.06876958,69.0016510358,69.0016510358,68.06876958
2019-01-16 23:30:00,58.885714965,59.6722724752,59.6722724752,58.88571496
